,run,test_loss,total_logit_excluded_loss,total_logit_restricted_loss,percent_logits_explained,key_reps,logit_{}_rep_trace_similarity
0,A5_MLP_seed1,6.27e-05,7.19,7.73e-07,51.38%,"['standard', 'a5_3d_a', 'a5_3d_b']","['0.54', '0.42', '0.23']"
0,A5_MLP_seed2,5.09e-06,9.38,1.78e-07,43.86%,"['standard', 'a5_3d_a', 'a5_3d_b']","['0.55', '0.23', '0.29']"
0,A5_MLP_seed3,3.73e-06,11.35,4.51e-08,49.96%,"['a5_3d_a', 'a5_5d_a', 'standard']","['0.23', '5.65e-03', '0.67']"
0,A5_MLP_seed4,5.93e-06,10.62,6.89e-08,45.57%,"['a5_5d_a', 'a5_3d_a', 'standard', 'a5_3d_b']","['0.01', '0.31', '0.60', '5.10e-03']"
0,A5_T_seed2,1.30e-07,15.11,2.61e-07,63.29%,"['a5_3d_a', 'a5_3d_b']","['0.80', '0.02']"
0,A5_T_seed3,0.20,29.15,1.78e-16,25.23%,"['a5_5d_a', 'a5_3d_b', 'a5_3d_a']","['0.50', '0.06', '6.50e-03']"
0,C113_MLP_seed1,2.86e-05,5.03,1.84e-06,93.68%,"['freq_32', 'freq_50', 'freq_44', 'freq_16', 'freq_17', 'freq_34', 'freq_4', 'freq_22', 'freq_11', 'freq_1', 'freq_13', 'freq_8', 'freq_25']","['0.02', '0.43', '0.46', '0.44', '0.27', '0.01', '0.49', '0.13', '0.12', '0.07', '0.02', '0.03', '0.02']"
0,C113_MLP_seed2,5.89e-06,4.63,2.01e-06,98.08%,"['freq_7', 'freq_22', 'freq_25', 'freq_24', 'freq_36', 'freq_30', 'freq_48', 'freq_44', 'freq_41', 'freq_14', 'freq_50']","['0.33', '0.49', '0.52', '0.50', '0.33', '0.06', '0.03', '0.03', '0.01', '0.01', '0.03']"
0,C113_MLP_seed3,2.46e-05,4.84,1.79e-06,92.69%,"['freq_37', 'freq_14', 'freq_55', 'freq_47', 'freq_52', 'freq_34', 'freq_9', 'freq_5', 'freq_54', 'freq_45', 'freq_2', 'freq_18', 'freq_3', 'freq_39', 'freq_28']","['0.41', '0.38', '0.44', '0.11', '0.10', '0.31', '0.36', '0.02', '0.41', '0.01', '0.09', '0.01', '9.53e-03', '0.02', '0.02']"
0,C113_MLP_seed4,6.15e-06,4.52,2.19e-06,97.89%,"['freq_55', 'freq_11', 'freq_30', 'freq_27', 'freq_43', 'freq_34', 'freq_29', 'freq_22', 'freq_53', 'freq_3']","['0.52', '0.36', '0.31', '0.04', '0.41', '0.48', '0.27', '0.03', '0.02', '0.04']"
0,C113_T_seed1,1.88e-07,13.00,4.13e-08,96.85%,"['freq_16', 'freq_30', 'freq_56']","['0.78', '0.52', '0.31']"
0,C113_T_seed2,3.89e-07,7.70,1.86e-08,96.70%,"['freq_43', 'freq_53', 'freq_52', 'freq_49']","['0.63', '0.48', '0.35', '0.46']"
0,C113_T_seed3,3.39e-07,10.10,3.04e-08,95.21%,"['freq_25', 'freq_56', 'freq_33', 'freq_19']","['0.48', '0.45', '0.64', '0.32']"
0,C113_T_seed4,1.53e-07,12.04,4.08e-08,97.93%,"['freq_11', 'freq_12', 'freq_18']","['0.87', '0.28', '0.38']"
0,C118_MLP_seed1,5.75e-06,4.76,2.06e-06,97.22%,"['freq_31', 'freq_49', 'freq_1', 'freq_12', 'freq_22', 'freq_45', 'freq_44', 'freq_20', 'freq_56', 'freq_24', 'freq_28', 'freq_2']","['0.50', '0.45', '0.28', '0.30', '0.39', '0.44', '0.02', '0.02', '0.03', '8.84e-03', '0.03', '0.01']"
0,C118_MLP_seed2,5.19e-06,4.46,2.22e-06,98.25%,"['freq_47', 'freq_23', 'freq_19', 'freq_29', 'freq_16', 'freq_44', 'sign', 'freq_46', 'freq_38', 'freq_58', 'freq_32', 'freq_30']","['0.35', '0.42', '0.39', '0.47', '0.26', '0.36', '0.32', '0.03', '0.03', '0.02', '9.49e-03', '0.02']"
0,C118_MLP_seed3,5.51e-06,4.95,2.05e-06,96.84%,"['freq_16', 'freq_30', 'freq_39', 'freq_8', 'freq_43', 'freq_48', 'sign', 'freq_11', 'freq_32', 'freq_58', 'freq_40']","['0.31', '0.65', '0.46', '0.25', '0.37', '0.09', '0.14', '0.10', '8.10e-03', '0.04', '0.02']"
0,C118_MLP_seed4,5.11e-06,4.57,1.99e-06,98.19%,"['sign', 'freq_14', 'freq_5', 'freq_25', 'freq_57', 'freq_1', 'freq_22', 'freq_10', 'freq_28', 'freq_50', 'freq_4', 'freq_2']","['0.26', '0.51', '0.36', '0.46', '0.38', '0.39', '0.05', '0.02', '0.03', '0.02', '0.01', '0.02']"
0,C118_T_seed1,1.67e-07,5.97,5.05e-08,98.55%,"['freq_37', 'freq_10', 'freq_16', 'sign', 'freq_19']","['0.46', '0.74', '0.26', '0.27', '0.30']"
0,C118_T_seed2,1.94e-07,8.87,4.05e-08,98.35%,"['freq_8', 'freq_12', 'freq_27', 'freq_57']","['0.22', '0.91', '0.30', '0.16']"
0,C118_T_seed3,1.74e-07,6.08,4.93e-08,98.59%,"['freq_53', 'freq_51', 'freq_4', 'freq_46']","['0.35', '0.37', '0.49', '0.70']"
0,C118_T_seed4,1.59e-07,19.73,4.84e-08,97.29%,"['freq_17', 'sign', 'freq_29']","['0.51', '0.13', '0.83']"
0,D59_MLP_seed1,9.50e-06,9.21,6.77e-07,48.65%,"['freq_19', 'freq_20', 'freq_15', 'freq_6', 'freq_14', 'freq_8', 'freq_3', 'freq_7', 'freq_21', 'freq_12', 'freq_29', 'freq_16']","['0.29', '0.21', '0.35', '0.27', '0.18', '0.27', '0.23', '0.06', '0.01', '0.01', '0.02', '0.02']"
0,D59_MLP_seed2,4.30e-06,12.72,1.62e-06,54.92%,"['freq_18', 'freq_10', 'sign', 'freq_19', 'freq_6', 'freq_26', 'freq_23', 'freq_7', 'freq_20', 'freq_21']","['0.34', '0.26', '0.33', '0.37', '0.24', '0.23', '0.02', '6.95e-03', '0.01', '0.02']"
0,D59_MLP_seed3,6.88e-06,12.75,1.74e-06,56.79%,"['sign', 'freq_20', 'freq_22', 'freq_16', 'freq_9', 'freq_12', 'freq_11', 'freq_24', 'freq_15', 'freq_18', 'freq_19']","['0.39', '0.25', '0.33', '0.23', '0.27', '0.32', '0.13', '0.02', '0.02', '0.01', '7.65e-03']"
0,D59_MLP_seed4,4.68e-06,16.55,1.64e-06,53.05%,"['sign', 'freq_7', 'freq_10', 'freq_15', 'freq_21', 'freq_29', 'freq_19', 'freq_17', 'freq_20']","['0.27', '0.25', '0.36', '0.42', '0.30', '0.03', '0.02', '0.02', '0.02']"
0,D59_T_seed1,1.81,31.84,1.04e-08,39.89%,"['sign', 'freq_21', 'freq_28', 'freq_5', 'freq_25', 'freq_2', 'freq_22', 'freq_17', 'freq_10', 'freq_4']","['0.41', '0.14', '0.12', '0.29', '0.05', '0.32', '0.05', '0.05', '5.97e-03', '6.88e-03']"
0,D59_T_seed2,4.02e-06,72.38,2.97e-08,50.95%,"['freq_1', 'freq_15', 'freq_23']","['0.54', '0.46', '0.11']"
0,D59_T_seed3,4.54e-07,35.79,6.94e-08,67.72%,"['freq_22', 'freq_20', 'freq_26']","['0.23', '0.75', '0.25']"
0,D59_T_seed4,8.08e-07,28.86,7.31e-08,51.61%,"['freq_1', 'freq_16', 'sign', 'freq_24', 'freq_4']","['0.46', '0.24', '0.24', '0.43', '0.10']"
0,D61_MLP_seed1,2.33e-05,11.78,1.53e-06,51.46%,"['sign', 'freq_19', 'freq_23', 'freq_6', 'freq_7', 'freq_3', 'freq_24', 'freq_5', 'freq_14', 'freq_13', 'freq_12', 'freq_15']","['0.28', '0.10', '0.38', '0.27', '0.26', '0.27', '0.23', '0.08', '0.01', '8.42e-03', '0.02', '0.03']"
0,D61_MLP_seed2,2.87e-05,11.00,1.22e-06,53.04%,"['sign', 'freq_4', 'freq_29', 'freq_8', 'freq_27', 'freq_26', 'freq_19', 'freq_28', 'freq_14', 'freq_9', 'freq_2', 'freq_7', 'freq_16', 'freq_3', 'freq_18']","['0.38', '0.13', '0.30', '0.35', '0.06', '0.05', '0.07', '7.66e-03', '0.25', '0.27', '0.08', '0.07', '0.02', '0.02', '7.15e-03']"
0,D61_MLP_seed3,5.58e-06,14.92,1.58e-06,54.99%,"['freq_15', 'freq_14', 'freq_9', 'freq_26', 'freq_2', 'freq_25', 'sign', 'freq_28', 'freq_18', 'freq_4', 'freq_30']","['0.31', '0.32', '0.36', '0.04', '0.31', '0.04', '0.34', '0.02', '0.02', '0.02', '0.02']"
0,D61_MLP_seed4,1.39e-05,12.19,1.55e-06,50.33%,"['freq_20', 'freq_21', 'freq_19', 'freq_7', 'freq_17', 'freq_15', 'freq_23', 'sign', 'freq_27', 'freq_14', 'freq_30']","['0.30', '0.10', '0.24', '0.30', '0.22', '0.36', '0.10', '0.25', '5.01e-03', '0.02', '0.03']"
0,D61_T_seed1,15.83,11.95,4.95e-06,15.85%,"['freq_13', 'freq_26', 'freq_6', 'freq_16', 'freq_4', 'freq_1', 'freq_14', 'freq_20', 'freq_7', 'freq_5', 'freq_8', 'freq_12']","['0.10', '0.10', '0.35', '0.08', '0.07', '0.05', '0.05', '5.72e-03', '5.11e-03', '9.55e-03', '8.98e-03', '5.18e-03']"
0,D61_T_seed2,16.25,18.15,1.40e-05,26.85%,"['sign', 'freq_24', 'freq_10', 'freq_4', 'freq_17', 'freq_2', 'freq_13', 'freq_6', 'freq_18', 'freq_28']","['0.45', '0.18', '0.09', '0.10', '0.07', '0.08', '0.03', '0.02', '0.04', '0.01']"
0,D61_T_seed3,5.02e-07,59.43,5.34e-08,51.69%,"['freq_8', 'sign', 'freq_23', 'freq_28']","['0.65', '0.21', '0.15', '0.18']"
0,D61_T_seed4,9.21e-07,29.17,6.76e-08,56.32%,"['freq_2', 'freq_6', 'freq_21', 'freq_13', 'freq_24', 'freq_19']","['0.38', '0.47', '7.34e-03', '0.45', '0.03', '6.98e-03']"
0,S5_MLP_seed1,3.14e-05,11.00,5.48e-08,39.05%,"['sign', 'standard_sign', 'standard', 's5_5d_a']","['0.31', '0.29', '0.41', '0.20']"
0,S5_MLP_seed2,2.94e-06,7.60,6.73e-07,84.81%,"['sign', 'standard']","['0.51', '0.77']"
0,S5_MLP_seed3,4.32e-06,12.13,1.33e-08,59.89%,"['sign', 'standard', 's5_5d_b']","['0.48', '0.60', '0.13']"
0,S5_MLP_seed4,2.25e-06,17.21,1.76e-09,59.25%,"['sign', 'standard']","['0.37', '0.67']"
0,S5_T_seed1,1.42e-07,16.18,1.73e-09,62.85%,"['sign', 'standard_sign']","['0.35', '0.71']"
0,S5_T_seed2,2.41e-07,12.87,7.70e-09,73.46%,"['sign', 'standard_sign']","['0.46', '0.72']"
0,S5_T_seed3,9.39e-08,20.41,1.71e-11,59.06%,"['sign', 'standard']","['0.36', '0.68']"
0,S5_T_seed4,9.51e-08,20.39,1.75e-11,59.07%,"['sign', 'standard']","['0.36', '0.68']"
0,S6_MLP_seed1,5.12e-05,17.01,1.18e-08,34.50%,"['s6_5d_b', 'standard_sign', 's6_5d_a', 'standard']","['0.57', '0.10', '0.07', '0.10']"
0,S6_MLP_seed2,1.36e-05,13.77,1.17e-07,64.15%,"['sign', 'standard', 's6_5d_b']","['0.42', '0.68', '0.06']"
0,S6_MLP_seed3,9.09e-05,17.53,3.46e-08,40.97%,"['sign', 'standard_sign', 's6_5d_a', 's6_5d_b', 'standard']","['0.38', '0.12', '0.10', '0.49', '0.03']"
0,S6_MLP_seed4,4.21e-05,13.78,5.44e-08,56.96%,"['sign', 's6_5d_b', 'standard_sign', 'standard']","['0.44', '0.60', '0.11', '0.06']"
0,S6_T_seed1,2.82e-07,66.40,6.38e-17,44.50%,['s6_5d_b'],['0.67']
